Pulse,Freq,Inductance,1/L,Load
,,1.71,0.5847953216,0
,,1.71,0.5847953216,0
,,1.7139,0.5834646129,0
,,1.7152,0.5830223881,0
,,1.7061,0.5861321142,0
,,1.7165,0.5825808331,0
,,1.7067,0.5859260561,0
,,1.7761,0.5630313608,2.5
,,1.4732,0.678794461,2.5
,,1.4474,0.6908940169,2.5
,,1.4534,0.6880418329,2.5
,,1.454,0.6877579092,2.5
,,1.4522,0.6886103842,2.5
,,1.4528,0.6883259912,2.5
,,1.4582,0.6857769853,2.5
,,1.4582,0.6857769853,2.5
,,1.4636,0.6832467887,2.5
,,1.466,0.6821282401,2.5
,,1.4552,0.6871907642,2.5
,,1.4678,0.6812917291,2.5
,,1.4594,0.6852131013,2.5
,,1.4672,0.6815703381,2.5
,,1.4678,0.6812917291,2.5
,,1.4696,0.6804572673,2.5
,,1.4762,0.6774149844,2.5
,,1.4696,0.6804572673,2.5
,,1.4702,0.6801795674,2.5
,,1.4732,0.678794461,2.5
,,1.463,0.6835269993,2.5
,,1.469,0.680735194,2.5
,,1.472,0.6793478261,2.5
,,1.4768,0.6771397616,2.5
,,1.4708,0.6799020941,2.5
,,1.475,0.6779661017,2.5
,,1.4756,0.677690431,2.5
,,1.4792,0.6760411033,2.5
,,1.472,0.6793478261,2.5
,,1.4768,0.6771397616,2.5
,,1.475,0.6779661017,2.5
,,1.4738,0.6785181164,2.5
,,1.4864,0.6727664155,2.5
,,1.4756,0.677690431,2.5
,,1.4708,0.6799020941,2.5
,,1.4816,0.6749460043,2.5
,,1.4822,0.6746727837,2.5
,,1.4828,0.6743997842,2.5
,,1.4774,0.6768647624,2.5
,,1.484,0.6738544474,2.5
,,1.484,0.6738544474,2.5
,,1.4883,0.6719075455,2.5
,,1.484,0.6738544474,2.5
,,1.4864,0.6727664155,2.5
,,1.4762,0.6774149844,2.5
,,1.4913,0.6705558908,2.5
,,1.4828,0.6743997842,2.5
,,1.4828,0.6743997842,2.5
,,1.4895,0.6713662303,2.5
,,1.7807,0.561576908,5
,,1.504,0.664893617,5
,,1.4967,0.6681365671,5
,,1.4998,0.6667555674,5
,,1.5064,0.663834307,5
,,1.5083,0.6629980773,5
,,1.5144,0.6603275225,5
,,1.5144,0.6603275225,5
,,1.5235,0.6563833279,5
,,1.5248,0.6558237146,5
,,1.5192,0.6582411796,5
,,1.5223,0.6569007423,5
,,1.5168,0.6592827004,5
,,1.5278,0.654535934,5
,,1.5266,0.6550504389,5
,,1.5309,0.6532105298,5
,,1.5284,0.6542789846,5
,,1.5327,0.6524434005,5
,,1.5339,0.6519329813,5
,,1.5413,0.6488029585,5
,,1.5339,0.6519329813,5
,,1.5395,0.649561546,5
,,1.537,0.6506180872,5
,,1.5413,0.6488029585,5
,,1.537,0.6506180872,5
,,1.5407,0.6490556241,5
,,1.5352,0.6513809276,5
,,1.5401,0.6493084865,5
,,1.5364,0.6508721687,5
,,1.5364,0.6508721687,5
,,1.5444,0.6475006475,5
,,1.5444,0.6475006475,5
